,user_id,meal_id,food,calories,kind
0,16,68,minestrone soup,127.2,lunch
1,16,68,mini baguette,413.44,lunch
2,16,68,cheese,113.12,lunch
3,16,68,tomatoes,22.14,lunch
4,16,68,minestrone soup,127.2,lunch
5,16,68,carrots,16.1,lunch
6,16,68,beans pasta,211.96,lunch
7,16,68,tomatoes,22.14,lunch
8,16,68,baguette,881.28,lunch
9,16,68,cheese,113.12,lunch
10,16,68,tomatoe,22.14,lunch
11,21,35,salad,19.99,lunch
12,21,35,greens,62.7,lunch
13,21,35,carrots,16.1,lunch
14,21,35,celery,6.75,lunch
15,21,35,cukes,30.15,lunch
16,21,35,croutons,66.03,lunch
17,21,35,broccoli,12.95,lunch
18,21,35,cauliflower,132.25,lunch
19,21,35,roasted butternut squash,158.38,lunch
20,21,35,balsamic vinaigrette,70.56,lunch
21,22,569,sandwich,154.86,lunch
22,22,569,chicken,187.0,lunch
23,22,569,cheese,113.12,lunch
24,22,569,tomatoes,22.14,lunch
25,22,569,bun,122.76,lunch
26,22,809,mozzarella,85.05,lunch
27,22,809,prosciutto,55.28,lunch
28,22,809,roasted peppers,61.76,lunch
29,22,809,sandwich,154.86,lunch
30,22,809,white bread,77.14,lunch
31,22,809,prosciutto,55.28,lunch
32,22,809,mozzarella,84.99,lunch
33,22,809,pepper,2.89,lunch
34,22,809,dressing,129.0,lunch
35,24,939,chicken salad,253.99,lunch
36,24,939,greens,62.7,lunch
37,24,939,salad,19.99,lunch
38,24,939,dried cranberries,123.2,lunch
39,24,939,lettuce,15.98,lunch
40,24,939,celery,6.75,lunch
41,24,939,cucumber,30.15,lunch
42,24,939,balsamic vinager,4.66,lunch
43,24,939,oil,123.76,lunch
44,24,939,granny smith apple,63.22,lunch
45,24,814,apple,94.64,lunch
46,24,814,peanut butter,188.16,lunch
47,24,814,granny smith apple,63.22,lunch
48,24,814,peanut butter,188.16,lunch
49,24,934,salad,19.99,lunch
50,24,934,spinach,41.4,lunch
51,24,934,olives,4.37,lunch
52,24,934,tomatoes,22.14,lunch
53,24,934,chicken egg,71.5,lunch
54,24,934,cucumber,30.15,lunch
55,24,934,garbanzo beans,268.96,lunch
56,24,934,kidney beans,224.79,lunch
57,24,934,mushrooms,3.36,lunch
58,24,934,sun flower seeds,698.88,lunch
59,24,934,carrots,16.1,lunch
60,24,934,olive oil,119.34,lunch
61,24,934,balsamic vinager,14.08,lunch
62,24,834,soup,62.0,lunch
63,24,834,cheese stick,85.05,lunch
64,24,834,italian wedding soup,120.05,lunch
65,24,834,mozzarella cheese stick,85.05,lunch
66,24,841,turkey,214.33,lunch
67,24,841,cheese,113.12,lunch
68,24,841,turkey,214.33,lunch
69,24,841,cheese,113.12,lunch
70,24,841,mustard,3.0,lunch
71,24,841,mayo,93.84,lunch
72,24,846,turkey,214.33,lunch
73,24,846,cheese,113.12,lunch
74,24,846,carrots,16.1,lunch
75,24,846,smoked turkey,141.12,lunch
76,24,846,gouda cheese,100.93,lunch
77,24,846,carrot sticks,50.02,lunch
78,24,846,mayo,93.84,lunch
79,24,846,mustard,3.0,lunch
80,24,853,turkey breast,124.95,lunch
81,24,853,cheese,113.12,lunch
82,24,853,turkey,214.33,lunch
83,24,853,cheese,114.53,lunch
84,24,853,mayo,93.67,lunch
85,24,853,mustard,3.0,lunch
86,24,853,clementine,34.78,lunch
87,24,853,mixed nuts,168.4,lunch
88,24,857,apple,94.64,lunch
89,24,857,peanut butter,188.16,lunch
90,24,857,cheese stick,85.05,lunch
91,24,857,hard boiled egg,77.5,lunch
92,24,857,granny smith apple,63.22,lunch
93,24,857,peanut butter,188.16,lunch
94,24,857,sugar,16.25,lunch
95,24,857,cheese stick,85.05,lunch
96,24,857,egg,71.5,lunch
97,24,874,tuna salad,383.35,lunch
98,24,874,greens,62.7,lunch
99,24,874,tuna,110.5,lunch
100,24,874,mayo,93.84,lunch
101,24,874,celery,6.75,lunch
102,24,874,tomatoes,22.14,lunch
103,24,874,cucumbers,30.15,lunch
104,24,874,lettuce,15.98,lunch
105,24,874,carrots,16.1,lunch
106,24,874,olive oil,119.34,lunch
107,24,874,vinager,2.68,lunch
108,24,880,salad grilled chicken,302.5,lunch
109,24,880,spinach,41.4,lunch
110,24,880,chick peas,268.96,lunch
111,24,880,mushrooms,3.36,lunch
112,24,880,beats,22.0,lunch
113,24,880,kidney beans,224.79,lunch
114,24,880,broccoli,12.95,lunch
115,24,880,tomatoes,22.14,lunch
116,24,880,cucumber,30.15,lunch
117,24,880,egg whites,17.16,lunch
118,24,880,olives,4.37,lunch
119,24,915,salad,19.99,lunch
120,24,915,spinach,41.4,lunch
121,24,915,tomatoes,22.14,lunch
122,24,915,olives,4.37,lunch
123,24,915,chicken egg,71.5,lunch
124,24,915,broccoli,12.95,lunch
125,24,915,cucumber,30.15,lunch
126,24,915,carrots,16.1,lunch
127,24,915,beans,238.76,lunch
128,24,915,kidney beans,224.79,lunch
129,24,915,mushrooms,3.36,lunch
130,24,915,sun flower seeds,698.88,lunch
131,24,915,olive oil,119.34,lunch
132,24,915,balsamic vinager,14.08,lunch
133,24,946,tuna salad,383.35,lunch
134,24,946,carrots,16.1,lunch
135,24,946,can of tuna,165.12,lunch
136,24,946,mayo,31.22,lunch
137,24,946,carrots,48.3,lunch
138,24,946,cheese stick,85.05,lunch
139,24,943,chicken and dumpling soup,323.4,lunch
140,24,943,carrots,16.1,lunch
141,24,943,dumplings,73.65,lunch
142,24,943,chicken,187.0,lunch
143,24,912,tuna salad,383.35,lunch
144,24,912,arugula,2.5,lunch
145,24,912,carrot sticks,50.02,lunch
146,24,912,can tuna,165.12,lunch
147,24,912,celery,6.75,lunch
148,24,912,mayo,93.84,lunch
149,24,912,carrot sticks,50.02,lunch
150,24,912,arugula,2.5,lunch
151,24,903,salad,19.99,lunch
152,24,903,spinach,41.4,lunch
153,24,903,chicken egg,71.5,lunch
154,24,903,garbanzo beans,268.96,lunch
155,24,903,kidney beans,224.79,lunch
156,24,903,beets,22.0,lunch
157,24,903,broccoli,12.95,lunch
158,24,903,black olives,4.37,lunch
159,24,903,carrots,16.1,lunch
160,24,903,tomatos,22.14,lunch
161,24,903,sunflower seeds,698.88,lunch
162,24,903,cucumbers,30.15,lunch
163,24,903,mushrooms,3.36,lunch
